"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C151",0.031055582,0.019739352,0.033453301,-0.001148082,0.015504945,0.044545507,0.027503788,0.018348098,-0.025727434,0.064754847,-0.082544456,0.033817556,-2.16e-06,-0.001585399,-0.013687918,0.024760014,-0.000601598,0.05253074,"CRP"
"C152",0.139467256,0.181671811,0.141665536,0.139676062,0.112723575,0.099919928,0.105279561,0.108799248,0.102654914,0.362483032,-0.012243248,0.138657078,0.159071946,0.096281524,0.283458996,0.135465963,-0.139327448,0.051273359,"CRP"
"C153",0.058381027,-0.010020287,0.037514758,0.000242759,-0.064963524,-0.04471398,-0.163312957,0.032171525,-0.012838516,0.047108486,0.023349473,0.026742447,-0.195166748,-0.057925519,0.096044722,-0.020942893,0.11067322,-0.021360892,"CRP"
"C154",0.03670399,0.082962134,-0.012369614,0.015025932,0.039112666,-0.032886015,-2.6e-06,0.020186101,-0.105913043,0.112730449,-0.125004485,-0.325868177,-0.150364783,0.000343705,0.104541126,0.03788291,0.293026896,0.07670228,"CRP"
"C155",-0.050120962,-0.185835678,-0.025018005,0.062047403,0.02222145,0.054171822,-0.062519562,-0.000218472,0.025269353,-0.263758721,0.001881799,-0.744133458,0.11124666,0.009300706,-0.142315508,0.0622384,-0.361240298,-0.084191128,"CRP"
"C156",-0.007409866,-0.049159865,0.066145049,0.054718251,0.052482129,0.071989483,-0.162115729,0.028484574,0.132102674,0.107540327,0.327312224,-0.058062537,-0.179478463,0.055210971,0.001763643,0.101573727,-0.088864329,0.03022705,"CRP"
"C158",-0.168294607,-0.060134648,-0.174113327,-0.121819212,-0.051620883,0.082439233,-0.03385398,-0.050299298,-0.044303214,-0.082298885,-0.024829573,0.119466477,-0.079570931,-0.020609138,-0.247674032,-0.039695008,-0.493798208,-0.060222935,"CRP"
"C161",-0.005564793,0.057221914,-0.021109778,-0.11769581,-0.037490114,-0.050075858,-0.022258206,-0.058749886,0.007912749,0.298360223,-0.03185848,0.362307003,-0.002961598,-0.01969053,-0.149163875,-0.010923435,-0.015640931,-0.081193356,"CRP"
"C162",0.035424498,0.098900224,-0.016944387,0.001668259,-0.000710913,-0.012154703,0.057913463,-0.021365755,-0.070779825,0.026092498,-0.045597837,0.276022038,-0.032215898,-0.013501981,0.045842051,0.001306159,0.292396535,0.029379181,"CRP"
"C163",0.052619028,0.063067062,0.007939755,-0.00512723,0.017798552,-0.041669649,0.177357177,0.017616603,-0.014691631,0.236479394,-0.068086544,-0.003570737,-0.019557313,0.12242659,0.070422787,0.061087454,0.500405154,0.039320781,"CRP"
"C165",0.132553476,0.033217083,0.074204642,0.098217605,-0.014487517,-0.087565278,-0.05380633,0.114019201,0.067409553,-0.054944093,-0.079445574,-0.247590381,0.04601197,-0.037637176,-0.058923267,0.040935583,0.018852459,0.013837229,"CRP"
